7,-1,7,0.0 
7,-1,7,0.0 
7,-1,7,0.0 
7,-1,7,0.0 
7,-1,7,0.0 
7,-1,7,0.0 
7,-1,7,0.1 
7,-1,7,0.1 
7,-1,7,0.1 
7,-1,7,0.1 
7,1,7,0.2 
7,1,7,0.2 
7,1,7,0.2 
7,1,7,0.2 
7,1,7,0.3 
7,1,7,0.3 
7,1,7,0.3 
7,1,7,0.4 
7,1,7,0.3 
7,1,7,0.3 
7,1,7,0.3 
7,1,1,0.4 
7,1,1,0.3 
7,1,1,0.3 
7,1,1,0.4 
7,1,1,0.4 
7,1,1,0.3 
7,1,1,0.4 
7,1,7,0.4 
7,1,6,0.3 
7,1,4,0.4 
7,3,4,0.4 
7,3,4,0.4 
1,1,4,0.4 
1,1,4,0.4 
1,1,4,0.4 
1,1,5,0.4 
1,1,7,0.4 
1,1,7,0.4 
1,1,7,0.4 
7,1,7,0.4 
6,1,7,0.4 
4,1,7,0.4 
4,1,7,0.4 
4,1,5,0.4 
4,1,5,0.4 
4,1,4,0.4 
4,3,4,0.4 
5,3,4,0.3 
7,3,4,0.3 
7,1,4,0.3 
7,1,5,0.2 
7,1,7,0.2 
7,1,7,0.2 
7,1,7,0.1 
7,1,7,0.2 
5,1,7,0.2 
5,1,7,0.1 
4,1,7,0.1 
4,1,7,0.1 
4,1,7,0.1 
4,1,7,0.2 
4,3,7,0.2 
5,3,7,0.2 
7,3,7,0.2 
7,3,7,0.3 
7,3,7,0.3 
7,3,7,0.2 
7,3,0,0.3 
7,3,0,0.3 
7,3,0,0.3 
7,1,0,0.3 
7,1,0,0.4 
7,1,0,0.3 
7,1,0,0.3 
7,1,0,0.3 
7,1,0,0.3 
7,1,0,0.2 
7,1,0,0.2 
7,1,0,0.2 
0,1,0,0.1 
0,-1,0,0.0 
0,-1,0,0.0 
0,-1,7,0.0 
0,2,1,0.0 
0,2,1,0.0 
0,2,1,0.0 
0,2,1,0.0 
0,2,1,0.0 
0,2,1,0.0 
0,2,1,0.0 
0,2,1,0.0 
0,2,1,0.0 
0,2,1,0.0 
0,4,1,0.0 
7,4,7,0.0 
1,4,7,0.0 
1,4,7,0.0 
1,4,7,0.0 
1,2,7,0.0 
1,2,7,0.0 
1,2,7,0.0 
1,-1,7,0.0 
1,-1,1,0.0 
1,-1,1,0.0 
1,1,1,0.1 
1,1,1,0.1 
7,1,1,0.2 
7,1,1,0.2 
